publication_date,title,conclusions
2016-03-09T00:00:00Z,Pregnancy Requires Major Changes in the Quality of the Diet for Nutritional Adequacy: Simulations in the French and the United States Populations,"['Pregnancy tends to markedly widen the nutritional gap. The decrease in the nutritional adequacy of observed diets of women of childbearing age cannot be solved by a simple increase in energy intake, as recommended in some countries. A relatively good nutritional adequacy in pregnant women can therefore not be simply attributed to a higher energy intake, but to qualitative changes in the diet. Recommendations of snack additions from public health agencies make a somewhat limited and an extremely variable contribution to tackling the nutritional gap during pregnancy. These results call for dedicated studies to define the most theoretically efficient dietary counselling during pregnancy on a methodologically sound basis, either as generic counselling for the whole population or as tailor-fitted advice at the individual level, to improve the nutritional adequacy of the diet which is jeopardized at this specific, critical stage of the life cycle.']"
2016-08-23T00:00:00Z,Continental-Scale Patterns Reveal Potential for Warming-Induced Shifts in Cattle Diet,"['In all, given the geographic patterns in diet, it appears that as climates warm, cattle will respond in part by increasing their relative consumption of protein from high-protein eudicots to compensate for declines in protein concentrations in grasses. As protein concentrations appear to have already been declining in grasslands for decades due to increasing atmospheric CO2 concentrations [38], warming and elevated CO2 concentrations are likely reinforcing nutritional stress in cattle, though the degree to which cattle nutritional stress may have increased is currently unquantified. Monitoring the diet of cattle likely will be an important component in responding to climate-induced nutritional stresses as increases in forb component of diets might indicate elevated nutritional stress. Mitigating nutritional stress will likely require altered management practices such as promoting high-protein plant species, altered use of fire [39], or increasing protein concentrations of grasses, possibly through fertilization. With increases in eudicot percentages in diets, more attention will need to be paid to the role of secondary compounds in dietary selection and nutrition [6]. Given the patterns observed here, some management practices, such as broad-scale application of herbicides to reduce eudicot abundance, might be deleterious nutritionally and an improper response to reduced nutritional quality of forage.']"
2015-06-17T00:00:00Z,Assessing Nutritional Parameters of Brown Bear Diets among Ecosystems Gives Insight into Differences among Populations,"['Previous studies have illustrated the differences in brown bear diets and their correlation with life history traits and population densities [1, 7, 11, 18, 73]. However, the specific nutritional differences of brown bear diets between populations have not been previously quantified or assessed for the entire active period. This study is one of the first to compare ecosystem-specific brown bear diets based on the relative sources of digestible energy and protein for several interior populations. Noticeable differences in the nutritional parameters of brown bear diets were observed among several interior ecosystems, and the patterns observed suggest that individual body size and population density may be influenced by the availability of protein early in the season (by supporting lean mass gain and lactation) and the availability of energy late in the season (by supporting fat mass gain before hibernation).Small changes in the availability of highly nutritious foods have important effects on the nutritional quality of bear diets, such as the reduction or loss of terrestrial meats, trout and pine nuts in the GYE. Changes in nutritional quality will have an even greater impact when food availability and foraging efficiency do not permit increased consumption of less nutritious foods to offset the reduction in nutritional quality. Due to the importance of the nutritional conditions on bear fitness [12, 73] and population productivity [39, 44], monitoring food availability and foraging and dietary patterns of brown bears should be a permanent part of management programs.']"
2015-04-17T00:00:00Z,"The Self-Reported Clinical Practice Behaviors of Australian Optometrists as Related to Smoking, Diet and Nutritional Supplementation","['The present study provides a valuable insight into the current self-reported practice behaviors of Australian optometrists, as related to smoking and nutrition. The findings suggest that many practitioners do not routinely ask their patients about smoking status, nor do they provide counseling with regard to smoking cessation; younger optometrists (20 to 29 years of age) were less likely to enquire about smoking behaviors than older practitioners. Overall, optometrists tended to provide patient advice in relation to diet and nutritional supplementation slightly more regularly than for smoking. Almost two-thirds of respondents indicated routinely counseling patients about their diet; practitioners who consumed nutritional supplements themselves were no more likely to discuss the use of dietary supplements with their patients. These findings highlight scope to improve patient-related guidance in relation to smoking, diet and nutritional supplementation in Australian optometric practice.']"
2017-10-09T00:00:00Z,The impact of nutritional supplement intake on diet behavior and obesity outcomes,"['Our study shows that the propensity to consume nutritional supplements is a function of diet quality, health, demographic and lifestyle factors. Our findings also suggest a possible link between diet-health behavior (supplement intake) and obesity status as measured by BMI. Thus, consumers of diet supplements do show a lower BMI compared to non-takers. Given decreasing intake levels of fruits and vegetables, it is important to determine the role nutritional supplements play in health behavior and in determining diet quality outcomes.Indeed, we find that nutritional supplements intake may have a positive effect on diet quality of supplement consumers, which in turn may affect diet health outcome indicators, such as the BMI. However, the effect of supplement intake as an explicit health behavior does not significantly alter the levels of overall diet quality or any of its important sub-components observed in this study. This finding expands the results commonly found in consumer stated preference surveys on diet-health in that a direct linkage between preventative health behaviors and the consumption of fruits and vegetables exists [10].However, the estimated differences in obesity and diet quality outcomes between nutritional supplement takers and no-takers should not be interpreted as the causal effect of supplementation. Instead, the binary supplement intake variable in the PSM analysis represents a proxy of individual’s (supplement taker’s) health behaviour, which results in significant differences in the chosen outcomes when compared against a control (non-taker) population.The results of the analysis suggest that several health indicators, demographics, and lifestyle variables significantly affect the selection into the treatment group of nutritional supplement takers. Nutritional supplement intake is positively associated with a significantly lower BMI of above 1kg/ (body height in meters)2, when all other observable characteristics between supplement takers and non-takers are controlled for. We also found that supplement takers are likely to be white, highly educated, of higher household income, non-smokers and of overall higher health status.The findings reveal that food stamp recipients and lower income households do not take nutritional supplements, even though these two groups may be especially at-risk groups of failing to meet recommended intake levels for major fresh food categories (e.g. fresh fruits and vegetables). On the other hand, individuals of normal weight (individuals with a lower BMI) and individuals who consume more fruits were found to proactively hedge against health risks by consuming nutritional supplements a preventative measure for maintaining good health. One way to encourage consumption of nutritional supplements among at-risk groups would be to establish a health policy on consumption, especially with regards to fruits and vegetables and nutritional supplements, in order to target specific at-risk populations.Given the increasing importance of individuals’ dietary choices to consumer diet-health and public policy in the United States, accurate estimates of existing behaviors and their impacts on relevant health outcomes have become essential tools for the purpose of policy guidance. Moreover, greater general awareness of diet-health issues and trends toward proactive health behaviors have increased consumers’ demand for more products with identifiable health benefits (e.g. superfoods, functional foods). This trend towards “nutritionism” [77] demands significant adjustments on the side of stakeholders along many agri-food value chains. Given the recent volatility in the in the U.S. produce sector, growth opportunities related to diet-health trends should be of even greater important to the fresh fruit and vegetable industry. In this context knowledge of the determinants of nutritional supplement demand seems particularly essential.Finally, a key component in the quest for improving food policies is the improvement in analytical methods aimed at eliminating the self-selection bias and resulting mismeasurement commonly associated with working with cross-sectional observational data, such as NHANES. The econometric analysis carried out in this article contributes to the discussion regarding whether consuming supplements leads to positive diet-health outcomes. Appropriate methods such as treatment effects estimators (e.g. PSM) can provide more reliable insights into an individual’s diet and health behavior, which will provide the prerequisite for effective and efficient public policies.']"
2017-01-25T00:00:00Z,"Diet and ADHD, Reviewing the Evidence: A Systematic Review of Meta-Analyses of Double-Blind Placebo-Controlled Trials Evaluating the Efficacy of Diet Interventions on the Behavior of Children with ADHD","['Based on double-blind placebo-controlled evidence our systematic review shows that the effect sizes of AFC-free diets (small to medium) and PUFA supplementation (negligible to small) warrant the conclusion that as yet these interventions should not be advised as general ADHD treatment. Conversely, the effect sizes of a few-foods diet are medium to large, justifying implementation of a diagnostic FFD in subgroups of children with ADHD, thus offering innovative treatment opportunities for ADHD. Further FFD research should focus on the mechanism of food in children with ADHD. Finding pathways may result in an easier diagnostic procedure to differentiate between diet responders and nonresponders, in an easier therapeutic approach in children responding to foods and in a personalized disease strategy. The findings of this review are in line with the position of the International Society for Nutritional Psychiatry Research, recently stating that there is ‘emerging and compelling evidence for nutrition as a crucial factor’ in mental disorders, and suggesting that ‘consideration of nutrition should be part of standard practice’ [130].']"
2019-01-15T00:00:00Z,Plant-based (vegan) diets for pets: A survey of pet owner attitudes and feeding practices,"['This study represents the first investigation into the prevalence of meat-avoidance in the pet owner population. The prevalence of vegetarianism and veganism was higher in the pet owner sample than has been reported in the general population, accounting for approximately 12% of pet owners in the sample population. To put that into perspective, in the USA alone, with its population of 325 million [98] and a national a pet-owning rate estimated at 56% [54], there may be as many as 20 million vegetarian and vegan pet owners. Given that the concerns regarding animal-based pet foods reported by vegan and vegetarian pet owners surveyed appear to be the same concerns that they feel regarding animal-products in their own diets, a large number of these pet owners likely desire alternative diets for their pets. Indeed, nearly one-quarter of vegan pet owners reported currently feeding their pets a plant-based diet, while almost half of those who indicated they did not currently do so reported that they would if there were a plant-based diet available which met their standards. For the majority of pet owners interested in feeding a plant-based diet to their pet, the major obstacle was a lack of evidence of nutritional sufficiency. These results suggest a discordance between perceived or real availability of suitable plant-based pet foods and the demand for evidence-based complete and balanced plant-based pet foods. It is clear that an association exists between the diet a pet owner has chosen to follow and the diet they choose to feed their pet. Nutritional sufficiency of most plant-based diets has yet to be demonstrated, while few studies have investigated the short or long-term effects of plant-based diets on pet health. Considering the number of pet owners found to be feeding, or interested in feeding, plant-based diets to pets, and the implications on pet health, nutrition, and the pet food market, more research is warranted regarding plant-based foods for dogs and cats.']"
2015-02-26T00:00:00Z,Nutritional Manipulation for the Primary Prevention of Gestational Diabetes Mellitus: A Meta-Analysis of Randomised Studies,['Mixed approach interventions composed of diet and lifestyle modification do not appear to prevent GDM. Diet based interventions may be beneficial in obese and overweight pregnant women. Nutritional supplements such as probiotics and myo-inositol show benefit and need further evaluation in large randomised trials.']
2016-09-09T00:00:00Z,Maternal Dietary Patterns and Practices and Birth Weight in Northern Ghana,"['Poor dietary practices during pregnancy such as ‘pica’ and ‘out of home eating’ were found to be associated with increase odds for low birth weight. We also identified two dietary patterns among pregnant women in Northern Ghana. These are Health conscious diet and non-health conscious diet. Women dietary diversity score and dietary patterns were found to be protective against low birth weight. Our findings buttress the importance of optimal nutrition during pregnancy. Therefore, it is important that emphasis should be placed on counseling and assisting pregnant women and prospective mothers to practice optimal nutrition through the consumption of foods across the various food groups that are good sources of both macro and micronutrients during nutrition counseling in antenatal clinics more so in Ghana.']"
2019-12-12T00:00:00Z,"Protein, dietary fiber, minerals, antioxidant pigments and phytochemicals, and antioxidant activity in selected red morph Amaranthus leafy vegetable","['Red morphs amaranth leaves have abundant antioxidant pigments and phytochemicals such as β-carotene, chlorophyll, vitamin C, β-cyanins, carotenoids, β-xanthins, TAC, betalains, TPC, and TFC. It also has abundant protein, dietary fiber, and minerals such as Ca, K, Mg, Fe, Cu, Zn, and Cu compared to leafy vegetables. Correlation study revealed that natural antioxidant pigments and phytochemicals had strong antioxidant capacity. It could be a potential leafy vegetable as a source of natural antioxidant pigments and phytochemicals having strong antioxidant activity along with nutritional components in our daily diet to combat with the hidden hunger and attaining nutritional and antioxidant sufficiency. Hence, red morphs amaranth with rice, wheat, and maize in our daily diet could contribute to attaining nutritional and antioxidant sufficiency.']"
2015-08-19T00:00:00Z,Metabolomic and Lipidomic Analysis of Serum Samples following Curcuma longa Extract Supplementation in High-Fructose and Saturated Fat Fed Rats,"['A view of the metabolic changes in an animal model fed with high fructose and saturated fatty acid diet, as long as the effects of integration with the nutritional supplement Curcuma longa has been provided by NMR metabolomics and GC-MS lipidomics of the serum. While the observed and expected, diet-induced, metabolic disorders (insulin resistance) could not be countered by the nutritional supplement, elements have been discerned of a possible localized protection, notably at the liver level. Indeed, while perturbation of several energy-related metabolites (amino acids, ketonic bodies, creatine, pyruvate, glucose, VLDL) have been observed in both animals fed with the high fructose and saturated fatty acid diets, despite Curcuma longa dietary supplementation, specific biomarkers could be associated to this latter setup. Particularly, a depression of the alcohol oxidation, detected through an enhanced concentration of methanol, and a possible activation of the hexosamine biosynthesis pathway, consistent with a reduction of glutamine and glycoprotein levels. Both these two effects point towards a modified liver function. Further biomarkers of the curcuminoid enriched diet were a significant alteration of the concentration of long chain unsaturated fatty acids: C20:5n-3, C22:6n-3 and C24:1n-9. The variation in the concentration in this latter is a specific effect of the nutritional supplement, as it is not observed in the high fructose and saturated fatty acid diet groups, and is suggestive of a cellular enhanced response to the membrane rigidification associated to insulin resistance. All of these points to possible specific and local, rather than systemic, protective effects of Curcuma longa, and further studies are underway to clarify this issue.']"
2015-07-15T00:00:00Z,The Nutrient Balance Concept: A New Quality Metric for Composite Meals and Diets,"['The Nutrient Balance Concept (NBC) represents a new aspect to nutrient profiling. Although based on the nutrient composition of single foods, the NBC was specifically developed to take this a stage further–to be able to assess the overall nutritional quality of meals composed of multiple food items as well as that of total diets.The three distinctive features of the method are novel metrics that:\n\nNumerically describe the content of qualifying and disqualifying nutrients of individual foods in a way that is independent of portion size and which, importantly, acts as a solid basis for developing various algorithms\nAllow the same analytical approach to be used across the entire food spectrum–from simple food components to complex meals and total diets, and\nProvide an original way to judge nutrient complementarity and the overall nutrient quality of meals and diets composed of multiple food items.\nThe application of the NBC algorithm to the online MyPlate 7-Day Sample Menus provides the first objective evaluating of this important nutrition communication plan. The results showed that the overall nutrition quality of the meals developed by the USDA was very high in variety, total nutrient content and relative quantities of individual nutrients (see Figs 3, 4 and A-E in S1 File; Table 4). The nutrition quality of day-to-day food patterns was also very high and remarkably constant over 7 days. The NBC calculations did, nevertheless, show some variation in the values of QI, DI and NB across meals, depending on the specific foods used.Finally, the NBC algorithm, which is relatively simple to create for particular applications and for different computer systems, could become a useful tool for devising diets or fine tuning meal planning, especially those for populations on a strict budget or with special cultural or clinical needs.']"
2016-05-18T00:00:00Z,"Perinatal Exposure to a Diet High in Saturated Fat, Refined Sugar and Cholesterol Affects Behaviour, Growth, and Feed Intake in Weaned Piglets","['In conclusion, the present study provides evidence that foetal or early life exposure to a diet enriched in saturated fat, sucrose and cholesterol has subtle effects on behaviour of (non-obese) piglets, with reduced aggression and increased locomotion, without having apparent adverse effects on anxiety-related behaviours after weaning. The exposure to the HFS diet after birth also induced long-lasting changes in voluntary feed intake, growth and feed efficiency in piglets, which may have resulted from early post-weaning AA restriction. Our study also emphasises the importance of the interactions between in utero and early postnatal nutrition for the behavioural development of the offspring, as some behavioural effects of postnatal exposure to the HFS diet depended on the prenatal dietary history. Further studies are needed to determine which factors, such as maternal and offspring metabolic status, diet composition or digestive enzymatic activity, underlie the equivocal results found between our study and prior research in rodents. Considering the current socio-economic context characterised by the widespread availability of diet high in fat and refined sugars, the characterisation of dietary or metabolic factors underlying the effects of a perinatal high-fat high-sugar high-cholesterol diet on behaviour in pigs could have interesting applications in terms of dietary recommendations for perinatal nutrition in humans.']"
2019-03-15T00:00:00Z,Long-term dietary intervention with low Phe and/or a specific nutrient combination improve certain aspects of brain functioning in phenylketonuria (PKU),"['This study is the first to demonstrate that both a long-term low Phe diet, a diet enriched with SNC as well as both diets combined is able to ameliorate some, but not all of the PKU-induced abnormalities. Both diets seem to improve some, but not other domains that are impaired in the BTBR PKU mouse model. Specifically, this study demonstrates that a long-term intervention study in BTBR PKU mice improves novel object recognition, while a long-term intervention with a low Phe diet nearly normalizes serotonin and norepinephrine levels. Future research should be aimed at developing an optimal nutritional intervention to target brain function in PKU patients.']"
2017-12-12T00:00:00Z,Determinants of dietary diversity and the potential role of men in improving household nutrition in Tanzania,"['Food and nutrition insecurity remains a complex problem, mainly in rural areas in less developed countries such as Tanzania. Our study revealed that the diet among households lacked diversity, and that the intake of foods from animal sources (meat, poultry and offal, fish and seafood) was low, especially among the children and women. Women and children access a less diverse diet, since 46% and 26% achieved minimum dietary diversity respectively. Children under five and women in female-headed households had significantly low dietary diversity scores compared to those in the male-headed households. Vegetable production emerged as an important subsector in improving household dietary diversity, particularly for women. Additionally, gender and education of the household head, training on food and nutrition and size of land owned contribute to improved dietary diversity.Men can contribute towards improving household nutrition security by reducing their consumption of food away from home, particularly during food shortages, and using the money saved to purchase nutritious food for the household. Male farmers also could set aside a part of the produce harvested for household consumption rather than market sale. These actions could potentially reduce any form of malnutrition among children and women. Because most households depend on agriculture, awareness creation should focus on improving the production of vegetables and consumption of foods with superior micronutrient density for improved nutrition. Thus, there is a need to support community-based sensitization programs to provide information on food preparation, human nutrition, and the importance of growing vegetables for household consumption. Such programs should focus on encouraging men to actively participate in providing diversified diet to their households.']"
2019-02-27T00:00:00Z,"Potential impacts of climate-related decline of seafood harvest on nutritional status of coastal First Nations in British Columbia, Canada","['Traditionally-harvested seafood remains fundamental to the contemporary diet of coastal BC FNs and provides substantial levels of essential nutrients. Dietary shifts aggravated by climate-related declines in seafood consumption may have significant nutritional and health implications for BC FNs. It is important to note that the traditional diet of coastal BC FNs has already been declining as a result of social and environmental changes and has led to the inadequate intakes of important nutrients. For example, from the Fraser River to northern BC, eulachon which was formerly a staple for coastal communities, and is known to be an excellent source of vitamin A, has almost disappeared. Similarly, bivalves, an excellent source of protein and iron, has diminished substantively. These major changes account for some of the limited changes in iron and vitamin A seen from the climate change modelling. Therefore, strategies to improve seafood harvest potential and access rights to coastal communities are needed to ensure the nutritional health and overall well-being, and to promote food security and food sovereignty in coastal FNs. In particular, more rigorous adaptations scenarios and a transformation in fisheries governance, involving participatory methodologies to incorporating Indigenous knowledge, livelihood objectives and perspectives, are needed to address the nutritional burden facing FN’s diets.']"
