publication_date,title,conclusions
2014-10-21T00:00:00Z,Psychological Determinants of Consumer Acceptance of Personalised Nutrition in 9 European Countries,"['To the authors’ knowledge, this is the first study to have modelled factors determining intention to take up personalised nutrition in representative samples of European consumers. An important strength of the study was that the elements of the model have been informed by qualitative research in similar population. These data imply that attitudes towards, and adoption of, personalised nutrition are primarily driven by perceptions of benefit and whether adoption of personalised nutrition is achievable. Trust in regulatory systems (in particular related to data protection) and the extent to which individuals are committed to improving, and perceive that their own actions may influence their own health status and attitudes towards personalised nutrition. This implies that promotion of personalised nutrition to the general public would need to emphasise the (personal) benefits of personalised nutrition. Discussion of risk should focus on end-user concerns, in particular related to data –protection and service delivery. Communication should also address Perceived Efficacy through providing information about how personalised nutrition can be adopted by consumers. Providing information about potential health benefits associated with personalised nutrition may also influence adoption by individuals with low levels of Health Locus of Control.']"
2015-03-13T00:00:00Z,Uncovering the Nutritional Landscape of Food,"['In this study, we have developed a unique computational framework for the systematic analysis of large-scale food and nutritional data. The networks of foods and nutrients offer a global and unbiased view of the organization of nutritional connections, as well as enable the discovery of unexpected knowledge regarding associations between foods and nutrients. Nutritional fitness, which gauges the quality of a raw food according to its nutritional balance, appears to be widely dispersed over different foods, raising questions on the origins of such variations between foods. Remarkably, this nutritional balance of food does not solely depend on the characteristics of individual nutrients but is also structured by intimate correlations among multiple nutrients in their amounts across foods. This underscores the importance of nutrient-nutrient connections, which constitute the network structures embodying multiple levels of the nutritional compositions of foods. Extending our analysis beyond raw foods to cooked foods is necessary to truly understand the nutritional landscape of the foods we consume daily (and is left for further study); however, considering only raw foods was sufficient to draw primary insights from a relatively simple system.A number of applications would become achievable if the concepts presented here are judiciously combined with other practical approaches. The incorporation of region-specific information in our analysis may help design strategies for international food aid [24]. To develop such strategies, one can consider the prioritization of regional foods based on nutritional fitness, suggestions for locally-available dietary substitutes from a food-food network, the fortification of foods using bottleneck nutrients, and so forth. Our study also has implications for personalized nutrition [25]. People of different ages, genders, body compositions, health states, and physical activity levels can obtain their condition-specific information through our method, by simply adjusting the required calorie and nutrient intakes when generating irreducible food sets (S1 Appendix, Section 4.1). The resulting irreducible food sets allow one to compute the nutritional fitness and bottleneck nutrients. This information can be of particular interest to individuals with certain dietary requirements, such as pregnant women, who are recommended to take more nutrients, e.g., essential amino acids and vitamins, than non-pregnant women [26]. On the other hand, it would be interesting to check how different farming methods for each food affect the food’s nutritional composition and thereby its nutritional fitness. Currently, our data source does not provide such information about farming methods (S1 Dataset). Furthermore, considerations of food taste and financial, seasonal, and cultural factors in our analysis may improve the applicability of our methods towards nutritional policy making, nutrition education, and food marketing [1], [27], [28], as well as the aforementioned food aid and personalized nutrition. Finally, our systematic approach sets the foundation for future endeavors to enhance the understanding of food and nutrition.']"
2017-06-27T00:00:00Z,Developing and validating a scale to measure Food and Nutrition Literacy (FNLIT) in elementary school children in Iran,['Food and nutrition literacy scale is a valid and reliable instrument to measure food and nutrition literacy in children in Iran. This measure lays a solid empirical and theoretical foundation for future research and tailored interventions to promote food and nutrition literacy in children.']
2017-05-18T00:00:00Z,Quality of nutrition services in primary health care facilities: Implications for integrating nutrition into the health system in Bangladesh,"['The aim of the NNS, integrating nutrition services into the routine healthcare service delivery contacts, was an ambitious objective. Improving the logistics of providing appropriate equipment and the coverage of training may improve nutrition service delivery. However, there are inherent barriers to implementing nutrition services through the health system including high caseloads, resulting in shorter consultations during ANC and management of sick under-five children. Gestational age specific nutritional counselling package for ANC visits can maximise the efficiency. Missed opportunities to identify undernourished children and lack of time to provide preventive counselling messages can be overcome by introducing well-child clinics in the community or prioritizing home based nutritional screening and counselling by domiciliary workers. Alternative service delivery modes need to be considered including NGOs and other development partners who have demonstrated commitment to nutrition.']"
2015-10-21T00:00:00Z,To See or Not to See: Do Front of Pack Nutrition Labels Affect Attention to Overall Nutrition Information?,"['Our work strongly supports the idea that FOP labels are effective at garnering attention to nutrition information. The added presence of color-coded FOP labels on food packages attracted attention to nutrition information more rapidly and increased the total time that people spent attending to any nutrition information. However, we also found that FOP labels can be used, under certain situations, as a short-cut, thereby decreasing people’s attention to the more comprehensive information found in the NFP. For the scenarios considered in this study, we found no evidence that the presence of FOP labels primed attention to the comprehensive nutrition information on the NFP. These findings have practical implications for policy. First, our finding that FOP labels can, under some circumstances, reduce attention to comprehensive information in the NFP, suggests that any attempt to standardize FOP labels should ensure that that the most important information for making healthy choices appear in the FOP label. Conversely, this “short-cut” finding suggests that manufacturers should not be allowed to selectively report nutrition information on the front-of-pack, as it has the potential to mislead consumers. However, we believe that the attentional benefits of the FOP outweigh the potential negatives. FOP labels produced a dramatic increase in the speed with which people attended to nutrition information, and increased the overall amount of time spent attending to nutrition information. Moreover, the existing literature suggests that FOP labels may not act as a short-cut when people are explicitly interested in nutrition information [54] and that these labels can catalyze more healthful choices [61] for a sustained period of time [56]. Given the magnitude of the evidence that too few people currently attend to nutrition information [62], raising awareness, even to partial nutrition information, constitutes a step towards fostering informed food choices and potentially impacting overall dietary quality.In short, FOPs are likely to increase attention to nutrition information among the common shopper who is not explicitly interested in nutrition information. However, the information that appears within the FOP may be particularly influential when evaluating the health of the food, so regulators must carefully consider the type of information that should appear within a standardized FOP.']"
2018-05-15T00:00:00Z,A positive association between nutritional risk and the incidence of surgical site infections: A hospital-based register study,"['In conclusion, we demonstrate SSI to occur more often among patients being at nutritional risk as compared to those who are not at nutritional risk. Future studies should investigate interventions to prevent both SSI and nutritional risk among surgical patients.']"
2017-02-07T00:00:00Z,Spatial heterogeneity and risk factors for stunting among children under age five in Ethiopia: A Bayesian geo-statistical model,"[""Stunting prevalence may vary across space at different scale. For this, it's important that nutrition studies and, more importantly, control interventions take into account this spatial heterogeneity in the distribution of nutritional deficits and their underlying associated factors. Thus, geographically targeted nutritional interventions might be more efficient and cost-effective in southern Ethiopia and, by extension, in similar settings. The findings of this study also indicated that interventions integrating household food insecurity in nutrition programs in the district might help to avert the burden of stunting.""]"
2019-06-20T00:00:00Z,Test-retest reliability of the Mini Nutritional Assessment and its relationship with quality of life in patients with stroke,"['Our results showed that the MNA had satisfactory test-retest reliability, indicating that the MNA is reliable in repeatedly assessing the nutritional status of patients with stroke. The MDC of the MNA has acceptable random measurement error which is useful for determining whether the change score of a patient is outside the range of random measurement error. Improving the nutritional status of patients with stroke would be beneficial because nutritional status is significantly correlated with QOL. Our findings provide useful information that could help clinicians in the process of planning nutritional interventions.']"
2016-08-23T00:00:00Z,Continental-Scale Patterns Reveal Potential for Warming-Induced Shifts in Cattle Diet,"['In all, given the geographic patterns in diet, it appears that as climates warm, cattle will respond in part by increasing their relative consumption of protein from high-protein eudicots to compensate for declines in protein concentrations in grasses. As protein concentrations appear to have already been declining in grasslands for decades due to increasing atmospheric CO2 concentrations [38], warming and elevated CO2 concentrations are likely reinforcing nutritional stress in cattle, though the degree to which cattle nutritional stress may have increased is currently unquantified. Monitoring the diet of cattle likely will be an important component in responding to climate-induced nutritional stresses as increases in forb component of diets might indicate elevated nutritional stress. Mitigating nutritional stress will likely require altered management practices such as promoting high-protein plant species, altered use of fire [39], or increasing protein concentrations of grasses, possibly through fertilization. With increases in eudicot percentages in diets, more attention will need to be paid to the role of secondary compounds in dietary selection and nutrition [6]. Given the patterns observed here, some management practices, such as broad-scale application of herbicides to reduce eudicot abundance, might be deleterious nutritionally and an improper response to reduced nutritional quality of forage.']"
2016-03-09T00:00:00Z,Pregnancy Requires Major Changes in the Quality of the Diet for Nutritional Adequacy: Simulations in the French and the United States Populations,"['Pregnancy tends to markedly widen the nutritional gap. The decrease in the nutritional adequacy of observed diets of women of childbearing age cannot be solved by a simple increase in energy intake, as recommended in some countries. A relatively good nutritional adequacy in pregnant women can therefore not be simply attributed to a higher energy intake, but to qualitative changes in the diet. Recommendations of snack additions from public health agencies make a somewhat limited and an extremely variable contribution to tackling the nutritional gap during pregnancy. These results call for dedicated studies to define the most theoretically efficient dietary counselling during pregnancy on a methodologically sound basis, either as generic counselling for the whole population or as tailor-fitted advice at the individual level, to improve the nutritional adequacy of the diet which is jeopardized at this specific, critical stage of the life cycle.']"
